,Skip,Loss,train-acc,test-acc,commd_round
0,256.0,3.2789611013792457,53.315,85.66,18754560.0
1,566.0,2.166785316996975,70.1275,89.39,30476160.0
2,889.0,1.6966618017056803,76.69833333333334,91.02,40504640.0
3,1227.0,0.5804797697623689,91.28,92.31,48579520.0
4,1561.0,0.5278691301802155,91.735,92.5,57175360.0
5,1899.0,0.4924670607052576,92.04,93.02,65250240.0
6,2242.0,0.3432153493305668,93.195,93.64,72673920.0
7,2589.0,0.32750059400103054,93.375,93.64,79576640.0
8,2941.0,0.3163503505227466,93.41833333333334,93.96,85828160.0
9,3296.0,0.2613683127239346,93.99499999999999,93.95,91688960.0
10,3645.0,0.24039608428778592,94.15249999999999,94.39999999999999,98331200.0
11,3989.0,0.23648695886484347,94.23166666666667,94.19,105624640.0
12,4339.0,0.20807515491964296,94.74000000000001,94.63000000000001,112136640.0
13,4684.0,0.19712890947208506,94.87,94.62,119299840.0
14,5034.0,0.19234650832271047,94.94,94.69,125811840.0
15,5383.0,0.1667434232146479,95.46,94.61,132454080.0
16,5736.0,0.16450433829100802,95.4775,95.06,138575360.0
17,6084.0,0.16318058853270487,95.53666666666668,95.0,145347840.0
18,6427.0,0.14972221675910988,95.95,95.03,152771520.0
19,6775.0,0.14456532611569856,95.9175,94.86,159544000.0
20,7127.0,0.14194976731785572,95.985,95.28,165795520.0
21,7479.0,0.1245885482232552,96.43,95.54,172047040.0
22,7826.0,0.12019775119493716,96.5025,95.21,178949760.0
23,8174.0,0.12195955124606069,96.48166666666667,95.67,185722240.0
24,8525.0,0.1094901123829186,96.87,95.44,192104000.0
25,8872.0,0.1112825780492858,96.80499999999999,95.42,199006720.0
26,9218.0,0.11066443772346247,96.76666666666667,95.7,206039680.0
27,9565.0,0.10367423646035605,96.99,95.81,212942400.0
28,9913.0,0.10331972291518468,97.0275,95.87,219714880.0
29,10265.0,0.10028421229876888,97.07833333333333,95.73,225966400.0
30,10618.0,0.09009809333248996,97.32,95.71,232087680.0
31,10972.0,0.08809387524321209,97.41,95.82000000000001,238078720.0
32,11324.0,0.08972013183772409,97.38166666666666,95.92,244330240.0
33,11673.0,0.08227248615934514,97.615,95.99,250972480.0
34,12024.0,0.08214409688545857,97.635,96.00999999999999,257354240.0
35,12372.0,0.08227259030429801,97.66833333333334,96.05,264126720.0
36,12727.0,0.07406947669805959,97.86500000000001,96.04,269987520.0
37,13072.0,0.07457614177983488,97.83500000000001,96.25,277150720.0
38,13423.0,0.07585660116300763,97.81666666666666,96.28,283532480.0
39,13769.0,0.07144273419864476,98.005,96.28999999999999,290565440.0
40,14126.0,0.07198468060829327,97.9525,96.32,296165760.0
41,14475.0,0.07133100801428857,97.94333333333334,96.35000000000001,302808000.0
42,14828.0,0.06369316452532076,98.115,96.3,308929280.0
43,15178.0,0.06763713276799535,98.03500000000001,96.28999999999999,315441280.0
44,15530.0,0.0652639973013235,98.12166666666667,96.41999999999999,321692800.0
45,15883.0,0.059576115667587144,98.29,96.44,327814080.0
46,16231.0,0.06044456512056058,98.275,96.39,334586560.0
47,16581.0,0.06058523503054554,98.22666666666666,96.53,341098560.0
48,16933.0,0.054367846978711894,98.375,96.41999999999999,347350080.0
49,17288.0,0.05625018184742658,98.355,96.5,353210880.0
50,17633.0,0.05712567520822631,98.36666666666667,96.64,360374080.0
51,17988.0,0.051165631228941494,98.595,96.46000000000001,366234880.0
52,18337.0,0.05106932709924877,98.54,96.66,372877120.0
53,18686.0,0.05188347118770859,98.52833333333334,96.56,379519360.0
54,19041.0,0.047277682296116834,98.69,96.67999999999999,385380160.0
55,19396.0,0.04913175606227014,98.6375,96.55,391240960.0
56,19740.0,0.04995104679973641,98.575,96.61,398534400.0
57,20094.0,0.045534643750288525,98.78,96.73,404525440.0
58,20450.0,0.045716773895255754,98.71,96.76,410256000.0
59,20799.0,0.046670505321235393,98.64333333333335,96.72,416898240.0
